,Unnamed: 0,image_A_url,image_B_url,image_C_url,target,utterance,utterance_post
1701,1701,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8338a18d589c26d21c648623457982d0/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/922902d623e5e5dee527210494d6783c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/16327d928854b34ef11c3739edd52fa3/image_p020_t337_r005.png,"[0, 0, 1]",A light bulb shape with a skinny base that takes up almost half the length of the bulb.,a light bulb shape with a skinny base that takes up almost half the length of the bulb
1702,1702,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1f4df93fc1ca81c985bde43adc8959db/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e15960ae59486c464ccb9dd377d00737/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/13ec444752bd414bb01c58badc8bbc39/image_p020_t337_r005.png,"[0, 0, 1]",this lamp has a square base,this lamp has a square base
1703,1703,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5830c288acd8dbc5f71f6713526f9507/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/762b4e2cbb8e643790c2e24416edfe5b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2577723d02fd914eda113afcb6c5e140/image_p020_t337_r005.png,"[0, 0, 1]",Lamp shade extends from accordion-type arm.,lamp shade extends from accordiontype arm
1704,1704,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/16efeb266e249dd63a52a79d6f5aab84/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/df0823f1c81eb6bbfcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a2fb35f872225ab2f6cbdab9ae1f93de/image_p020_t337_r005.png,"[0, 0, 1]",This item looks like there is spring in the middle of the base and top.,this item looks like there is spring in the middle of the base and top
1705,1705,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/13ba3fbe8fbc53f3ef3a2c64cef919d0/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9b579915b883bea042a65b86449bc7bf/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/12c0b15c8ed8a3edb039d8689a74349/image_p020_t337_r005.png,"[0, 0, 1]",Lamp shade is square.,lamp shade is square
1706,1706,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2ee70ee71a0b7caeb15194162f658e87/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9fc3ddc511f4ef62dced62abd38a02b0/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f6a7d85ccca5e5e34a6ecce2eeb45768/image_p020_t337_r005.png,"[0, 0, 1]",This has a flush circular attachment to hang from the ceiling. The pole connecting the lamp head is thin and the lamp head is a somewhat flat sphere with a ripple decoration across it.,this has a flush circular attachment to hang from the ceiling the pole connecting the lamp head is thin and the lamp head is a somewhat flat sphere with a ripple decoration across it
1707,1707,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/19388898dd69dd9fddc8e6d1ec6242c3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e94aab17400945413225afab722d9fd2/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5aaf61da59f1c0773225afab722d9fd2/image_p020_t337_r005.png,"[0, 0, 1]",Target object has the smallest grey circle on the very top,target object has the smallest grey circle on the very top
1708,1708,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/15fc5a4a342c00525412c66cb6f267da/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/fc5aa16de2be4b2b93411b5b3583c4d6/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1d2c2f3f398fe0ede6597d391ab6fcc1/image_p020_t337_r005.png,"[0, 0, 1]",This item is a chandelier consisting of six candle shaped lights with crystals suspended underneath.,this item is a chandelier consisting of six candle shaped lights with crystals suspended underneath
1709,1709,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1fa4508dad05235a7d3aa3bae1f7b494/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/d284b73d5983b60f51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9a447967a9fb5938bb3deb7fab7c9b7/image_p020_t337_r005.png,"[0, 0, 1]",Gyroscope with suspended spheres inside.,gyroscope with suspended spheres inside
1710,1710,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/446f8c76eed76c199df50b7f68c99baa/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b4aee889d5e2a826f6747912091f1965/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/352d68b2a816640099e8bf807e902261/image_p020_t337_r005.png,"[0, 0, 1]",Suspended flattened dome shape.,suspended flattened dome shape
1711,1711,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/27623aecfdae2d887eaeab1f0c9120b7/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/869836fe379f585a732b621b679fbd70/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f673fc77f397a061d49b2e04785f8492/image_p020_t337_r005.png,"[0, 0, 1]","A flat round top, with several shades hanging underneath from wires.",a flat round top with several shades hanging underneath from wires
1712,1712,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/437482f4d187d43893202bf99dddc268/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/817c0b1b85437923e7321f25048c6142/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8261f96cc33ddb264a7f20ad39e7a642/image_p020_t337_r005.png,"[0, 0, 1]",Choose the light with 4 sides.,choose the light with 4 sides
1713,1713,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5bb0ad1e0c9432b2dc6493177a28df03/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/d466b21fb042a2ac605afa80919f9592/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/367773a008b63a2c5208aab875b932bc/image_p020_t337_r005.png,"[0, 0, 1]",flat circular with cord,flat circular with cord
1714,1714,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/206ef4c97f50caa4a570c6c691c987a8/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3c9f0efc08817ab6fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/34020466b4342812218c9f1216abefd/image_p020_t337_r005.png,"[0, 0, 1]",This desk style lamp has a circular light attached to a post mounted to a circular/triangular shaped base.,this desk style lamp has a circular light attached to a post mounted to a circulartriangular shaped base
1715,1715,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2ac3b0a04514988e8c451c71f65d5dec/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c93f10431b324061581fd19c35a5c8c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/de5799693fbddbe3c4560b8f156e749/image_p020_t337_r005.png,"[0, 0, 1]",Lamp pole has one protruding shape.,lamp pole has one protruding shape
1716,1716,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/20e4c5b5783eb950490ad276cd2af3a4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/809ed642119aa5799e8bf807e902261/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/922902d623e5e5dee527210494d6783c/image_p020_t337_r005.png,"[0, 0, 1]",this looks like a lightbulb,this looks like a lightbulb
1717,1717,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/39262f1d1eb0678f71428d548481a9cc/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b6efb78876150d45c94b622f1207af2/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1baf036acc927ae27b79156a61ad4c01/image_p020_t337_r005.png,"[0, 0, 1]",pole has a chain shape,pole has a chain shape
1718,1718,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1c05f1a7125402ea4c135b40422475eb/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3c012309d5c68153302ef84771572fcb/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/75db7c2c9adbf2bfae18328edc91fc39/image_p020_t337_r005.png,"[0, 0, 1]",A table lamp with a slim verticle stem is topped with a square lampshade.,a table lamp with a slim verticle stem is topped with a square lampshade
1719,1719,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/748e643d7982fab3fbdebca9f6788597/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/85335cc8e6ac212a3834555ce6c51ffe/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2071651fb8407e4314038d588fd1342f/image_p020_t337_r005.png,"[0, 0, 1]",The one with the tripod stand that looks like it would be on a movie set.,the one with the tripod stand that looks like it would be on a movie set
1720,1720,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/37aac1913201b058c02170c33e00ea64/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f7c52d5d91e5ffbfbf82a0d508a096d3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/aa765d04e997e36a1742918a871fc8cf/image_p020_t337_r005.png,"[0, 0, 1]","Lamp with pointy triangular shade on a tall, thick pedestal.",lamp with pointy triangular shade on a tall thick pedestal
1721,1721,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3fb06dd95ac94436f51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6b9e4403230a162b54fb5025c749b481/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8c0380a0d385c98145d451096984140d/image_p020_t337_r005.png,"[0, 0, 1]",badminton birdie shaped lampshade with no protrusion sticking out the back and circle bottom,badminton birdie shaped lampshade with no protrusion sticking out the back and circle bottom
1722,1722,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2b1817fbc0f3ddbe8220566e85550c0a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/cdf8043d57863c1b17b431cae0dd70ed/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/421734c234a9ecce5c166769fb8a1974/image_p020_t337_r005.png,"[0, 0, 1]",A squat little table lamp with a round body is topped with a pleated lampshade.,a squat little table lamp with a round body is topped with a pleated lampshade
1723,1723,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/155c83f40406bd0c48d945252c13120a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f39cc29063a308168466f606a3db18ba/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e1916a904163748e8cc413950b617e8f/image_p020_t337_r005.png,"[0, 0, 1]",Lamp with cylinder-shaped shade and visible cord.,lamp with cylindershaped shade and visible cord
1724,1724,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/20ddd6039bb61e97fa01175e0dff0063/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c9c2e5fc4d00db3acd99cc18cb18bf34/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3deedc86a83bbf23f647dc544bb0ab61/image_p020_t337_r005.png,"[0, 0, 1]",Base-free pole with a cross-bar arm and one small light.,basefree pole with a crossbar arm and one small light
1725,1725,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/204a4eb580e93c559d709998b2d6e774/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/fa6b1702f7c1fa191b17743c18fb63dc/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9b0c6f3ee4a7965644b289cb940133b8/image_p020_t337_r005.png,"[0, 0, 1]",has circle base and circle top,has circle base and circle top
1726,1726,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/4ffb03a364a13c376b41b8bcd0404ec/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5f22096b25995531fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2d2a1da36b840ecfd49b2e04785f8492/image_p020_t337_r005.png,"[0, 0, 1]",light that has many little lights in a circle,light that has many little lights in a circle
1727,1727,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1b0ecf93a4a36a70f7b783634bf3f92f/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/941271c5d9b192eaccd8f9b9403fd602/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1e91664763d371937dd73da65dc0e6a7/image_p020_t337_r005.png,"[0, 0, 1]",Table or bedside short round lamp with round shade.,table or bedside short round lamp with round shade
1728,1728,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/4bb676c497969016de98d10ab5975b59/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/dac278ab197b5efefaa6996ece0d86f4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/13ec444752bd414bb01c58badc8bbc39/image_p020_t337_r005.png,"[0, 0, 1]",tall floor lamp,tall floor lamp
1729,1729,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/169d73f18f7b17bb4a6ecce2eeb45768/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2a05423b37f2620e1b17743c18fb63dc/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8c5f6d5f0ad51f1a45c8b1285cb15c2c/image_p020_t337_r005.png,"[0, 0, 1]",Desk lamp with one cone shade.,desk lamp with one cone shade
1730,1730,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3e2d51c40b37c9c086052e834fbd2c4a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a957a1304a1fe3f2f78c91c136e5b5f8/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/266d6b136cba49504b3c42e318f3affc/image_p020_t337_r005.png,"[0, 0, 1]",The target lamp has a square base.,the target lamp has a square base
1731,1731,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/35e76406291b06dd66c1e3622e549d2f/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b0a3cf1e09f7a3591c1ef519b9196b63/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5f3f11372141da8def0b2fc3511b6fbd/image_p020_t337_r005.png,"[0, 0, 1]","Desk lamp, with round base.",desk lamp with round base
1732,1732,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3ccfbe8b56a3b181276206fae5d3c473/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/d06ab2779bb0b73b822a33e080d0e71c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c898f9b1dddbb8801735ea0e092a805a/image_p020_t337_r005.png,"[0, 0, 1]",Sphere sits on a flat disk base.,sphere sits on a flat disk base
1733,1733,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/78b7adf1f72ad31a841a2fa612410176/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/be60fdf6e4c9e45fdac42bdc1d2df4a3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/32e9d8a4b5a141a2615efc34c3b36ef0/image_p020_t337_r005.png,"[0, 0, 1]",this object has a square top,this object has a square top
1734,1734,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/24fb5c490856f7bc12b31765ab67b41/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/d231a8b21aeeb7d78749901456352d5/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/13b365ef4887f5d388a942de43574033/image_p020_t337_r005.png,"[0, 0, 1]","Four very thin poles with a small circular piece at the top, and a large dome at the bottom, with the round part of the dome at the bottom.",four very thin poles with a small circular piece at the top and a large dome at the bottom with the round part of the dome at the bottom
1735,1735,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/555152a8e9cdbbe41afedc87fe387fe/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/da09a8c73054e9220ca3aeb14e36a45/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2269f268b32b40b35fc8f4c1fc00b380/image_p020_t337_r005.png,"[0, 0, 1]",Shade tilts downward from curved pole.,shade tilts downward from curved pole
1736,1736,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/31768574bcddbdde60ad823977adaa23/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/676ec374028a24db76e29c9c43bc7aa/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f3a9cc3060fd6b0e6e4f8fc909e0d34e/image_p020_t337_r005.png,"[0, 0, 1]",Choose the only object with a circle at the very top.,choose the only object with a circle at the very top
1737,1737,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b64e98c991d4103170365ad078f710ff/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b990d515ee1cfc214a200f5f1797d729/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1a9c1cbf1ca9ca24274623f5a5d0bcdc/image_p020_t337_r005.png,"[0, 0, 1]",Table lamp with one triangular shaped shade sitting on a carved pedestal.,table lamp with one triangular shaped shade sitting on a carved pedestal
1738,1738,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a72410196463086561fc247a18f47792/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e7b9477eaf6e2b64fe755e3418b63110/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2e06c6e29aa90245532e8683617554c4/image_p020_t337_r005.png,"[0, 0, 1]","Floor lamp with round striped base, long thin conical lamp shade.",floor lamp with round striped base long thin conical lamp shade
1739,1739,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3e9ce9f30f1999ab45bb7680f88b3d99/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6595ee36783d261ed3281970e2c44dbe/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ab02e202accb9b4b65b77a565916c7f/image_p020_t337_r005.png,"[0, 0, 1]",Lamp with disco ball on top.,lamp with disco ball on top
1740,1740,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/221e2caf85f9bc5a2f9aa70de681f2c4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ec449d7c89e84657cf66a9e192dbe265/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6a6fac314f0f295047a478fc5fc970de/image_p020_t337_r005.png,"[0, 0, 1]","Smooth slender column, with no base.",smooth slender column with no base
1741,1741,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b11c3bda15930ee7bba5aaac798c64af/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e04e5a96efd77a6ed2f5c44a5922d7b9/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3834d7f376879c03eca29403b7226aa1/image_p020_t337_r005.png,"[0, 0, 1]",this lamp has a round base and a round shade,this lamp has a round base and a round shade
1742,1742,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ebdc97f5fa29b1dae6597d391ab6fcc1/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ef612752f6192e8d29eb9d04ea723179/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/15c51ecb58bf304fef3a2c64cef919d0/image_p020_t337_r005.png,"[0, 0, 1]",Chandelier with many shades instead of candles.,chandelier with many shades instead of candles
1743,1743,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/26f2f40fa7fc0c5538b28f94c165f833/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e78c5337a56dca56bd6e55f88e701c4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/cf280bbec8017c26655715f3c8480da5/image_p020_t337_r005.png,"[0, 0, 1]",The target lamp has a ball shaped globe.  It has a thin stem that is compeltly straight.  There is no bend.,the target lamp has a ball shaped globe  it has a thin stem that is compeltly straight  there is no bend
1744,1744,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3aec7c839e247954a38859fd71bee28c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6e268cddf895c20ffcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2f345ba66e683c2bc5a208307819a3a1/image_p020_t337_r005.png,"[0, 0, 1]",Desk lamp with round base.,desk lamp with round base
1745,1745,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1e0f7ff92144792ac3ab13a0474803d5/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/36c1653a021a526319620b61f6587b3e/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/24c91045ef1c6a91e4407e92c4b0344c/image_p020_t337_r005.png,"[0, 0, 1]",Lamp that looks like a rocket,lamp that looks like a rocket
1746,1746,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/16ae2568c9e62681f8b8d4a282992be4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/d1aed86c38d9ea6761462fc0fa9b0bb4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/852feb3fca95b6d5dc3653f8341633a/image_p020_t337_r005.png,"[0, 0, 1]",Choose the table lamp with the adjustable arm and round shade.,choose the table lamp with the adjustable arm and round shade
1747,1747,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/280fa01686e780ba3501c961e91ff6d7/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/748983e71880720852ac619cbeedfc0/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/40c3135c95004291240cfa0649692c0f/image_p020_t337_r005.png,"[0, 0, 1]","Hanging light fixture with round lamp shade, hanging bar appears to be smaller at the top, gradually getting wider near the lamp shade.",hanging light fixture with round lamp shade hanging bar appears to be smaller at the top gradually getting wider near the lamp shade
